1329681854 0 0
1330333311 523 0
1330388304 773 0
1330447544 1217 0
1330474764 1280 0
1330541809 1553 0
1330560713 1945 0
1330607122 3036 0
1330617910 3341 0
1330635731 3576 0
1330636485 3576 0
1330637180 3576 0
1330639803 3576 0
1330675474 3655 0
1330816594 3895 0
1330900529 4202 0
1330909924 4523 0
1331024897 4627 0
1331028327 4651 0
1331047930 4885 0
1331168172 4885 175
1331215087 5145 175
1331229118 5211 175
1331231781 5211 205
1331316864 5264 205
1331338866 5264 211
1331401107 5284 211
1331408877 5284 257
1331763480 5284 257
1332094490 5284 282
1332099263 5284 282
1332113124 5284 330
1332113573 5284 330
1332169239 5518 330
1332383371 6332 330
1332497842 7033 330
