1329681854 0 1
1330333311 1 1
1330388304 2 1
1330447544 3 1
1330474764 4 1
1330541809 5 1
1330560713 6 1
1330607122 7 1
1330617910 8 1
1330635731 9 1
1330636485 10 1
1330637180 11 1
1330639803 12 1
1330675474 13 1
1330816594 14 1
1330900529 15 1
1330909924 16 1
1331024897 17 1
1331028327 18 1
1331047930 19 1
1331168172 19 2
1331215087 20 2
1331229118 21 2
1331231781 21 3
1331316864 22 3
1331338866 22 4
1331401107 23 4
1331408877 23 5
1331763480 23 6
1332094490 23 7
1332099263 24 7
1332113124 24 8
1332113573 24 9
1332169239 25 9
1332383371 26 9
1332497842 27 9
